"Number of students entered for a level 3 free standing mathematics qualification by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Cambridgeshire,134454,Focus School - Cambridge Campus,Independent School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,2,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,134455,Focus School - Swaffham Campus,Independent School,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,134455,Focus School - Swaffham Campus,Independent School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,3,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,134455,Focus School - Swaffham Campus,Independent School,Free standing Maths Qual Level 3,Modelling with Calculus,2,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,134460,Focus School - Wilton Campus,Independent School,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,134460,Focus School - Wilton Campus,Independent School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,18,5,7,2,1,1,2
Buckinghamshire,134467,Focus School - Stoke Poges Campus,Independent School,Free standing Maths Qual Level 3,Data Analysis,10,2,0,1,3,0,4
Buckinghamshire,134467,Focus School - Stoke Poges Campus,Independent School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,10,2,0,3,0,1,4
North Tyneside,134916,Tyne Metropolitan College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,8,0,1,1,5,1,0
North Tyneside,134916,Tyne Metropolitan College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Statistics,8,0,0,1,5,2,0
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,10,3,0,4,2,0,1
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,Free standing Maths Qual Level 3,Modelling with Calculus,7,1,3,1,1,0,1
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,10,3,6,0,0,0,1
South Gloucestershire,135295,John Cabot Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,135295,John Cabot Academy,Sponsored Academy,Free standing Maths Qual Level 3,Hypothesis Testing,1,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,135364,Swindon Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,135364,Swindon Academy,Sponsored Academy,Free standing Maths Qual Level 3,Hypothesis Testing,2,Supp,Supp,Supp,Supp,Supp,Supp
Swindon,135364,Swindon Academy,Sponsored Academy,Free standing Maths Qual Level 3,Modelling with Calculus,2,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,135650,The Open Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,6,0,0,1,0,1,4
Norfolk,135650,The Open Academy,Sponsored Academy,Free standing Maths Qual Level 3,Modelling with Calculus,2,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,135650,The Open Academy,Sponsored Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,0,0,1,1,0,4
Essex,135957,Clacton Coastal Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,5,Supp,Supp,Supp,Supp,Supp,Supp
Essex,135957,Clacton Coastal Academy,Sponsored Academy,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Essex,135957,Clacton Coastal Academy,Sponsored Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,5,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",135959,Bristol Metropolitan Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",135959,Bristol Metropolitan Academy,Sponsored Academy,Free standing Maths Qual Level 3,Hypothesis Testing,1,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,136044,St George's Academy,Sponsored Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,136044,St George's Academy,Sponsored Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Trafford,136377,Wellington School,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,7,6,1,0,0,0,0
Trafford,136377,Wellington School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,7,3,3,1,0,0,0
Slough,136420,Upton Court Grammar School,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,136497,Harrogate Grammar School,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,136533,Newquay Tretherras,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,9,2,0,1,1,1,4
Cornwall,136533,Newquay Tretherras,Converter Academy,Free standing Maths Qual Level 3,Dynamics,9,1,1,1,0,0,6
Cornwall,136533,Newquay Tretherras,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,3,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,136559,Redborne Upper School and Community College,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,5,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,136559,Redborne Upper School and Community College,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,5,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,136709,Bullers Wood School,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,19,5,2,6,2,4,0
Lancashire,136731,Ripley St Thomas Church of England Academy,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,7,0,0,6,1,0,0
Lancashire,136731,Ripley St Thomas Church of England Academy,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,7,0,0,0,4,2,1
Lancashire,136731,Ripley St Thomas Church of England Academy,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,7,3,3,1,0,0,0
Sutton,136785,Cheam High School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,12,3,1,3,4,0,1
Sutton,136785,Cheam High School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,7,2,0,2,1,1,1
Sutton,136785,Cheam High School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,12,1,4,4,3,0,0
Surrey,136828,Collingwood College,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,136828,Collingwood College,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,136828,Collingwood College,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Poole,136850,Poole Grammar School,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,136907,Myton School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,8,2,1,3,1,1,0
Warwickshire,136907,Myton School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,9,0,0,1,3,2,3
Warwickshire,136907,Myton School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,9,5,2,1,1,0,0
Staffordshire,136959,The Cheadle Academy,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,136959,The Cheadle Academy,Converter Academy,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,3,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136982,St Peter's Catholic High School and Sixth Form Centre,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136982,St Peter's Catholic High School and Sixth Form Centre,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,137106,King's Oak Academy,Sponsored Academy,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,137106,King's Oak Academy,Sponsored Academy,Free standing Maths Qual Level 3,Hypothesis Testing,1,Supp,Supp,Supp,Supp,Supp,Supp
Essex,137188,Tendring Technology College,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,4,Supp,Supp,Supp,Supp,Supp,Supp
Essex,137188,Tendring Technology College,Converter Academy,Free standing Maths Qual Level 3,Dynamics,16,2,1,2,2,0,9
Essex,137188,Tendring Technology College,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,4,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137213,Carre's Grammar School,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,13,2,3,6,2,0,0
Lincolnshire,137213,Carre's Grammar School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,13,1,2,7,2,1,0
Cornwall,137223,Falmouth School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,8,0,1,1,1,3,2
Cornwall,137223,Falmouth School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,6,1,0,0,2,0,3
Cornwall,137223,Falmouth School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,8,1,1,4,0,1,1
Cumbria,137252,William Howard School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,6,3,1,2,0,0,0
Cumbria,137252,William Howard School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,6,0,1,2,1,0,2
Cumbria,137252,William Howard School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,3,2,1,0,0,0
Cumbria,137254,Caldew School,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,3,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,137254,Caldew School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,137267,Ranelagh School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,137267,Ranelagh School,Converter Academy,Free standing Maths Qual Level 3,Hypothesis Testing,1,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,137382,Wyedean School and 6th Form Centre,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,5,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,137382,Wyedean School and 6th Form Centre,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,137382,Wyedean School and 6th Form Centre,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,3,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,137383,Woodkirk Academy,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,9,0,3,4,2,0,0
Leeds,137383,Woodkirk Academy,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,9,0,2,5,2,0,0
Gloucestershire,137634,Churchdown School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,6,0,1,0,0,0,5
Gloucestershire,137634,Churchdown School,Converter Academy,Free standing Maths Qual Level 3,Dynamics,8,0,0,0,0,0,8
Surrey,137736,Rosebery School,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137757,Bishop's Hatfield Girls' School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,4,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137757,Bishop's Hatfield Girls' School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,3,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137757,Bishop's Hatfield Girls' School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,4,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137847,Stanborough School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137847,Stanborough School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,2,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137847,Stanborough School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137873,The Deepings School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,6,2,0,2,0,1,1
Lincolnshire,137873,The Deepings School,Converter Academy,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,6,3,1,0,0,0,2
Lincolnshire,137873,The Deepings School,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,3,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,137970,The Cherwell School,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,2,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,137970,The Cherwell School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Nottinghamshire,137981,Ashfield Comprehensive School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Nottinghamshire,137981,Ashfield Comprehensive School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Essex,138084,Clacton County High School,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,5,Supp,Supp,Supp,Supp,Supp,Supp
Essex,138084,Clacton County High School,Converter Academy,Free standing Maths Qual Level 3,Hypothesis Testing,5,Supp,Supp,Supp,Supp,Supp,Supp
Essex,138084,Clacton County High School,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,138483,Tarporley High School and Sixth Form College,Converter Academy,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,138483,Tarporley High School and Sixth Form College,Converter Academy,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Converter Academy,Free standing Maths Qual Level 3,Data Analysis,8,0,1,2,1,1,3
Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,5,Supp,Supp,Supp,Supp,Supp,Supp
Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Converter Academy,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,8,1,1,2,2,1,1
Staffordshire,138729,Painsley Catholic College,Converter Academy,Free standing Maths Qual Level 3,Data Analysis,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,138729,Painsley Catholic College,Converter Academy,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,138729,Painsley Catholic College,Converter Academy,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,138762,St Birinus School,Converter Academy,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,138871,Focus School - Berkeley Campus,Independent School,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,138871,Focus School - Berkeley Campus,Independent School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,2,Supp,Supp,Supp,Supp,Supp,Supp
